School Code,"Enrolled
(K-12)","Utilized
(K-12)","Percent_Eligable
Eligible FRPM 
(K-12)"
0000001,19,2,0.11
0130393,133,31,0.23
0132670,115,66,0.57
0133397,2261,435,0.19
0134536,1936,450,0.23
0135376,321,37,0.12
6001234,888,573,0.65
6001242,648,191,0.29
6001259,738,60,0.08
6001283,552,226,0.41
6001291,799,185,0.23
6001317,416,322,0.77
6001341,975,107,0.11
6071906,664,152,0.23
6085773,717,147,0.21
6089338,602,136,0.23
6097661,776,58,0.07
6110332,610,147,0.24
6117543,595,116,0.19
6001358,20,16,0.80
0000001,7,1,0.14
0130054,1789,802,0.45
0130484,55,31,0.56
0135426,62,40,0.65
6001440,413,312,0.76
6001457,295,191,0.65
6001473,360,192,0.53
6001481,412,276,0.67
6001499,408,141,0.35
6001507,390,113,0.29
6001523,388,207,0.53
6001531,458,205,0.45
6102917,876,483,0.55
0000001,18,2,0.11
0110460,154,79,0.51
0110478,11,7,0.64
0126763,118,59,0.50
0134668,3735,1734,0.46
6001572,767,395,0.51
6001606,540,387,0.72
6001622,673,443,0.66
6068266,1378,557,0.40
6097679,1252,778,0.62
6101604,795,304,0.38
6115505,811,358,0.44
6115554,586,358,0.61
6118525,775,197,0.25
0000001,141,37,0.26
0100065,346,295,0.85
0100123,111,97,0.87
0100701,174,132,0.76
0100792,307,276,0.90
0102988,326,307,0.94
0106542,22,20,0.91
0106559,11,11,1.00
0106906,322,226,0.70
0108944,260,213,0.82
0109819,568,452,0.80
0110189,401,354,0.88
0110239,397,328,0.83
0110247,400,263,0.66
0110254,187,169,0.90
0110262,242,236,0.98
0111476,675,642,0.95
0111856,360,244,0.68
0112763,359,342,0.95
0112771,358,344,0.96
0112789,371,352,0.95
0112797,475,449,0.95
0112805,309,299,0.97
0112813,339,313,0.92
0114363,647,453,0.70
0114868,412,197,0.48
0115014,560,488,0.87
0115204,367,347,0.95
0115238,288,246,0.85
0115386,71,71,1.00
0115576,294,291,0.99
0115584,442,428,0.97
0115592,426,378,0.89
0115600,351,336,0.96
0115618,638,604,0.95
0115626,202,194,0.96
0115667,367,353,0.96
0118224,609,550,0.90
0118653,100,87,0.87
0119859,90,43,0.48
0120188,217,202,0.93
0121228,82,7,0.09
0121376,7,0,0.00
0123711,266,216,0.81
0125161,858,789,0.92
0125716,827,781,0.94
0126748,417,385,0.92
0128413,278,260,0.94
0129403,342,321,0.94
0129635,275,134,0.49
0129932,497,117,0.24
0130146,187,149,0.80
0130179,108,94,0.87
0130575,464,427,0.92
0130617,719,596,0.83
0130633,507,432,0.85
0130666,515,466,0.90
0130732,287,274,0.95
0131896,340,215,0.63
0132514,190,49,0.26
0132555,72,39,0.54
0132688,240,214,0.89
0134015,303,205,0.68
0135210,55,47,0.85
0135905,1568,1369,0.87
0136051,1998,970,0.49
0137943,1756,1302,0.74
3030772,755,90,0.12
6001630,361,297,0.82
6001648,567,91,0.16
6001655,447,354,0.79
6001663,296,274,0.93
6001689,248,214,0.86
6001697,236,175,0.74
6001713,214,190,0.89
6001739,411,200,0.49
6001754,473,38,0.08
6001812,314,232,0.74
6001820,702,637,0.91
6001838,367,317,0.86
6001846,654,606,0.93
6001853,455,163,0.36
6001879,260,193,0.74
6001895,274,68,0.25
6001903,351,342,0.97
6001911,387,28,0.07
6001929,345,325,0.94
6001945,435,138,0.32
6001978,165,147,0.89
6001994,510,411,0.81
6002018,744,571,0.77
6002042,438,401,0.92
6002059,340,329,0.97
6002075,442,426,0.96
6002083,634,137,0.22
6002091,370,332,0.90
6002109,329,59,0.18
6002117,334,236,0.71
6002125,181,162,0.90
6002141,362,103,0.28
6002174,436,146,0.33
6002182,304,284,0.93
6002190,352,334,0.95
6002216,390,63,0.16
6002273,300,276,0.92
6056998,591,509,0.86
6057004,474,211,0.45
6057020,227,212,0.93
6057046,278,265,0.95
6057061,805,506,0.63
6057079,774,416,0.54
6057087,548,513,0.94
6057095,360,307,0.85
6066450,772,724,0.94
6072235,269,263,0.98
6096523,417,378,0.91
6111660,233,114,0.49
6113807,146,112,0.77
6114011,147,111,0.76
6117568,408,384,0.94
6117972,226,97,0.43
6118608,487,423,0.87
6118616,306,277,0.91
6118640,508,253,0.50
6118657,372,357,0.96
0000001,9,0,0.00
0130286,60,10,0.17
0136515,813,11,0.01
6002281,298,7,0.02
6002299,476,6,0.01
6002307,302,0,0.00
6066492,665,12,0.02
0000001,24,7,0.29
0134528,155,106,0.68
0137588,2657,1599,0.60
6002372,412,264,0.64
6002398,609,477,0.78
6002414,488,241,0.49
6002422,484,352,0.73
6002430,376,242,0.64
6002448,528,178,0.34
6002455,382,278,0.73
6002463,722,528,0.73
6057111,1048,716,0.68
6066518,995,648,0.65
0000001,29,6,0.21
0101212,416,315,0.76
0111799,220,145,0.66
0114421,618,404,0.65
0130849,1830,933,0.51
0137745,137,86,0.63
0137810,1412,962,0.68
6002505,490,266,0.54
6002513,807,542,0.67
6002521,590,485,0.82
6002539,489,311,0.64
6002547,472,295,0.63
6002554,526,326,0.62
6002562,699,580,0.83
6002604,403,250,0.62
6002612,589,465,0.79
6002620,452,387,0.86
6002653,587,440,0.75
6002703,764,427,0.56
0114579,851,32,0.04
0123935,948,76,0.08
0125930,1506,75,0.05
0131615,968,17,0.02
0132704,2750,335,0.12
0138453,56,28,0.50
6001374,894,111,0.12
6001390,813,161,0.20
6001424,522,88,0.17
6066484,1029,175,0.17
6118038,957,34,0.04
0000000,54,5,0.09
0000001,18,1,0.06
0130096,2176,193,0.09
0130252,109,29,0.27
0130583,2673,177,0.07
6001366,814,55,0.07
6001416,628,40,0.06
6002315,622,52,0.08
6002323,785,44,0.06
6002349,645,151,0.23
6002356,728,27,0.04
6066500,1189,80,0.07
6089361,634,34,0.05
6108971,1238,150,0.12
6114318,629,29,0.05
6117592,1247,100,0.08
6117600,675,52,0.08
6002711,293,28,0.10
6002794,80,58,0.73
0000001,13,3,0.23
0129692,47,14,0.30
0330035,5,2,0.40
0330068,156,65,0.42
0330019,44,37,0.84
0330050,49,27,0.55
0330753,724,298,0.41
0334755,475,188,0.40
6002810,443,201,0.45
6002828,397,219,0.55
6002844,287,120,0.42
6002851,218,146,0.67
6002869,212,132,0.62
6002877,364,141,0.39
6107387,377,176,0.47
6107395,336,153,0.46
0114991,802,388,0.48
0129817,22,21,0.95
0134213,65,61,0.94
0430066,26,26,1.00
0430090,290,244,0.84
6069256,50,34,0.68
6002919,76,52,0.68
0430827,218,126,0.58
6002943,373,255,0.68
6002950,38,12,0.32
0000001,2,0,0.00
0110551,181,81,0.45
0111039,11,11,1.00
0118042,131,63,0.48
0120394,454,186,0.41
0121475,161,71,0.44
0123810,166,62,0.37
0123976,38,31,0.82
0430199,111,87,0.78
0430215,30,9,0.30
0431502,145,118,0.81
0431676,1811,736,0.41
0437558,1966,738,0.38
6002968,292,257,0.88
6002976,295,257,0.87
6003008,330,152,0.46
6003024,427,336,0.79
6003032,486,196,0.40
6003040,332,186,0.56
6003073,358,172,0.48
6003081,539,285,0.53
6003099,653,241,0.37
6003107,580,118,0.20
6057129,968,463,0.48
6057137,835,475,0.57
6109722,469,302,0.64
6111116,621,345,0.56
6113773,557,115,0.21
6116610,912,363,0.40
6119523,375,209,0.56
0000001,2,1,0.50
0433201,286,98,0.34
6003115,492,208,0.42
6105761,238,91,0.38
0121509,66,55,0.83
6003123,13,7,0.54
0125252,124,76,0.61
6003131,69,39,0.57
6003198,291,119,0.41
0000001,7,3,0.43
0110072,326,254,0.78
0129577,272,131,0.48
6003214,119,109,0.92
6003230,410,336,0.82
6003255,330,291,0.88
6003263,400,229,0.57
6003271,437,344,0.79
6094957,336,290,0.86
0000001,6,0,0.00
0430140,38,34,0.89
0434803,1075,771,0.72
0435602,962,761,0.79
0437566,118,109,0.92
0000001,1,1,1.00
0110510,295,244,0.83
6003289,532,409,0.77
6003297,430,334,0.78
6089080,11,11,1.00
6115034,3,3,1.00
0110338,236,99,0.42
0121715,57,32,0.56
0430108,9,8,0.89
0432856,95,77,0.81
0437350,995,548,0.55
6003313,560,369,0.66
6003321,430,297,0.69
6003339,568,359,0.63
6105522,473,384,0.81
6112585,155,110,0.71
6112999,158,45,0.28
6113526,255,199,0.78
6113765,220,95,0.43
0000001,3,2,0.67
0101485,4,4,1.00
0102327,322,270,0.84
6003354,472,417,0.88
6003362,284,243,0.86
