Zip Code,Median,Mean,Pop
42210,36837.00,47124.00,4236.00
42211,42546.00,54029.00,13398.00
42214,38281.00,47927.00,682.00
42215,45021.00,62824.00,1300.00
42217,36092.00,47085.00,4117.00
42220,33309.00,43677.00,6844.00
42223,70724.00,76471.00,15597.00
42232,50450.00,62305.00,812.00
42234,43337.00,51541.00,2469.00
42236,46351.00,57172.00,929.00
42240,38141.00,48524.00,42479.00
42254,48125.00,59914.00,209.00
42256,38732.00,48211.00,5028.00
42259,28927.00,39020.00,1273.00
42261,23204.00,28371.00,7567.00
42262,35676.00,42983.00,8396.00
42265,35175.00,50408.00,820.00
42266,48374.00,68276.00,2590.00
42273,29318.00,43144.00,443.00
42274,48697.00,53698.00,2373.00
42275,28068.00,37226.00,883.00
42276,35113.00,47251.00,14471.00
42280,28329.00,42935.00,484.00
42285,39190.00,52443.00,375.00
42286,40832.00,49763.00,1291.00
42301,40834.00,50498.00,42440.00
42303,45578.00,56617.00,38909.00
42320,37674.00,46726.00,8205.00
42321,30000.00,37830.00,327.00
42322,45786.00,57901.00,47.00
42323,30000.00,37830.00,793.00
42324,39895.00,44705.00,1276.00
42325,37448.00,51437.00,2028.00
42326,30000.00,37830.00,460.00
42327,42741.00,55573.00,4037.00
42328,33527.00,43860.00,1389.00
42330,36546.00,46156.00,9386.00
42332,32710.00,39875.00,271.00
42333,34565.00,43838.00,1025.00
42337,31745.00,39054.00,2026.00
42338,32125.00,48018.00,88.00
42339,42524.00,46946.00,800.00
42343,36583.00,49408.00,1782.00
42344,35094.00,48517.00,856.00
42345,39030.00,49202.00,11747.00
42347,36209.00,47867.00,6152.00
42348,45451.00,51299.00,4810.00
42349,34908.00,38856.00,1503.00
42350,39650.00,48021.00,1433.00
42351,48598.00,52657.00,3851.00
42352,33251.00,48120.00,2060.00
42354,40042.00,44098.00,252.00
42355,50903.00,53622.00,1852.00
42356,53975.00,60203.00,83.00
42361,35585.00,43809.00,492.00
42366,55784.00,65764.00,5863.00
42367,35094.00,48517.00,667.00
42368,39713.00,48787.00,1325.00
42369,38628.00,44036.00,331.00
42370,35000.00,37556.00,28.00
42371,42821.00,53127.00,476.00
42372,39070.00,48920.00,1854.00
42374,36813.00,45939.00,277.00
42376,53362.00,61836.00,5799.00
42378,44776.00,57333.00,3339.00
42404,41722.00,54309.00,2569.00
42406,46831.00,58981.00,3555.00
42408,33830.00,45158.00,6737.00
42409,42379.00,50579.00,2586.00
42410,26858.00,36466.00,1460.00
42411,35739.00,51169.00,1656.00
42413,54773.00,67307.00,3118.00
42420,43148.00,52705.00,38192.00
42431,39541.00,50441.00,26916.00
42436,58772.00,76653.00,1030.00
42437,41667.00,50698.00,8324.00
42440,26858.00,36466.00,748.00
42441,54488.00,71867.00,1594.00
42442,36504.00,51006.00,3504.00
42445,34306.00,46144.00,11331.00
42450,30359.00,45001.00,4063.00
42451,62771.00,72411.00,783.00
42452,58203.00,64096.00,2141.00
42453,35496.00,49600.00,532.00
42455,40817.00,48946.00,3376.00
42456,44901.00,53163.00,1690.00
42458,67611.00,76176.00,1151.00
42459,37434.00,47392.00,4423.00
42461,35001.00,44032.00,1481.00
42462,44280.00,53935.00,1319.00
42463,43618.00,56057.00,156.00
42464,37521.00,52147.00,1799.00
42501,28031.00,41066.00,17592.00
42503,41642.00,55601.00,22894.00
42516,28544.00,38647.00,463.00
42518,24892.00,53408.00,2914.00
42519,23837.00,35142.00,3191.00
42528,28358.00,39854.00,1524.00
42533,22179.00,38471.00,802.00
42539,26148.00,35648.00,10026.00
42541,28424.00,38197.00,531.00
42544,31336.00,45001.00,5843.00
42553,35647.00,45978.00,5284.00
42565,30341.00,45379.00,735.00
42566,28424.00,38197.00,660.00
42567,31408.00,38414.00,6007.00
42602,53878.00,78652.00,10216.00
42603,24833.00,36161.00,130.00
42629,32850.00,44866.00,4953.00
42631,26352.00,34690.00,134.00
42633,26136.00,36992.00,20065.00
42634,19097.00,26880.00,1565.00
42635,20428.00,30267.00,5103.00
42638,26352.00,34690.00,207.00
42642,29381.00,39290.00,12573.00
42647,24472.00,32496.00,4086.00
42649,20711.00,30478.00,2326.00
42653,24761.00,33032.00,4619.00
42701,47600.00,60879.00,48194.00
42712,39883.00,48777.00,1855.00
42713,29279.00,46781.00,1641.00
42715,26023.00,31155.00,347.00
42716,37854.00,46775.00,1582.00
42717,28234.00,35818.00,6558.00
42718,34595.00,44587.00,24312.00
42721,29373.00,40393.00,3872.00
42722,36594.00,44178.00,714.00
42724,49201.00,63346.00,4714.00
42726,33806.00,44784.00,4667.00
42728,29214.00,38801.00,15925.00
42729,29483.00,38890.00,1617.00
42731,25307.00,33765.00,341.00
42732,49245.00,63430.00,2120.00
42733,31919.00,38319.00,1454.00
42740,49471.00,64091.00,1973.00
42741,50953.00,53196.00,480.00
42743,36910.00,53217.00,8869.00
42746,36433.00,44665.00,1892.00
42748,38471.00,47557.00,8706.00
42749,29274.00,40920.00,5245.00
42753,35905.00,44366.00,743.00
42754,34244.00,43353.00,15349.00
42757,39070.00,51028.00,2974.00
42758,40605.00,42005.00,139.00
42762,31007.00,41579.00,422.00
42764,35848.00,44942.00,559.00
42765,30572.00,41002.00,5840.00
42776,46804.00,60170.00,2736.00
42782,34189.00,43450.00,953.00
42784,41145.00,55129.00,2685.00
42788,49482.00,64123.00,310.00
43001,65644.00,81812.00,1885.00
43002,76896.00,91265.00,56.00
43003,51870.00,56507.00,2542.00
43004,75938.00,88786.00,8629.00
43005,49364.00,53661.00,149.00
43006,42533.00,51630.00,673.00
43008,31268.00,40784.00,2762.00
43009,60575.00,79723.00,1782.00
43010,63454.00,68982.00,312.00
43011,65899.00,70255.00,6247.00
43013,72895.00,79219.00,1078.00
43014,42995.00,52626.00,3374.00
43015,62756.00,73549.00,35892.00
43016,81185.00,96590.00,20066.00
43017,102281.00,120744.00,34505.00
43019,49778.00,56799.00,8367.00
43021,98630.00,125709.00,5648.00
43022,46722.00,57949.00,3497.00
43023,76153.00,94033.00,11476.00
43025,61131.00,76978.00,4917.00
43026,72081.00,81326.00,47576.00
43028,54860.00,64887.00,5583.00
43029,23123.00,26444.00,188.00
43030,63778.00,67850.00,83.00
43031,67154.00,76809.00,10003.00
43032,76334.00,82677.00,52.00
43033,70145.00,73838.00,367.00
43035,96891.00,111276.00,11411.00
43036,59199.00,65143.00,296.00
43037,49364.00,53661.00,421.00
43040,61362.00,72496.00,25051.00
43044,50400.00,56316.00,5116.00
43045,76786.00,87885.00,1595.00
43046,18126.00,20623.00,1010.00
43050,41344.00,51130.00,27274.00
43054,115165.00,166835.00,8122.00
43055,42049.00,53140.00,58073.00
43056,52053.00,61287.00,15028.00
43060,55930.00,68026.00,2524.00
43061,76464.00,88232.00,3389.00
43062,65434.00,76474.00,19408.00
43064,60316.00,72976.00,8357.00
43065,106119.00,139900.00,24616.00
43066,72135.00,84246.00,1112.00
43067,71341.00,80991.00,1540.00
43068,52737.00,62411.00,46120.00
43070,49828.00,56075.00,107.00
43071,46856.00,58932.00,2251.00
43072,50787.00,60391.00,5597.00
43074,77271.00,83126.00,8995.00
43076,48421.00,55082.00,6856.00
43077,77000.00,88057.00,303.00
43078,46687.00,59432.00,20870.00
43080,52572.00,61391.00,5110.00
43081,65579.00,78069.00,51725.00
43082,109381.00,134017.00,17757.00
43084,54213.00,63622.00,887.00
43085,78702.00,98116.00,23333.00
43101,53470.00,71852.00,370.00
43102,55561.00,60976.00,3903.00
43103,56700.00,63104.00,8884.00
43105,62318.00,73345.00,7543.00
43106,54705.00,58951.00,1575.00
43107,51755.00,58490.00,2892.00
43109,44334.00,53142.00,80.00
43110,65475.00,73333.00,18497.00
43111,38420.00,44788.00,151.00
43112,75377.00,88723.00,4089.00
43113,44359.00,53385.00,23130.00
43115,52273.00,59034.00,1290.00
43116,64309.00,75386.00,580.00
43119,57456.00,64729.00,22236.00
43123,58749.00,67391.00,46112.00
43125,59368.00,64414.00,9542.00
43126,61002.00,70675.00,336.00
43127,37700.00,44687.00,293.00
43128,40086.00,53505.00,2421.00
43130,46439.00,57422.00,55082.00
43135,45700.00,55726.00,4488.00
43136,67330.00,74707.00,365.00
43137,52369.00,58259.00,3019.00
43138,37826.00,45471.00,17293.00
43140,62633.00,69587.00,22061.00
43142,38596.00,52950.00,116.00
43143,46862.00,68954.00,5200.00
43144,38420.00,44788.00,494.00
43145,50867.00,62068.00,1865.00
43146,30598.00,35620.00,6150.00
43147,84534.00,91854.00,28068.00
43148,57458.00,65838.00,1903.00
43149,47703.00,53530.00,2598.00
43150,51421.00,56723.00,1972.00
43151,48500.00,59553.00,274.00
43152,42194.00,50311.00,994.00
43153,47663.00,58790.00,997.00
43154,58790.00,63332.00,2491.00
43155,50556.00,56753.00,2347.00
43156,48666.00,60096.00,257.00
43157,58553.00,64042.00,548.00
43158,42478.00,49928.00,270.00
43160,38483.00,49188.00,22050.00
43162,52680.00,74228.00,6764.00
43164,54029.00,65949.00,2257.00
43201,23203.00,31176.00,33130.00
43202,38960.00,48450.00,19851.00
43203,21608.00,32466.00,10084.00
43204,38570.00,46048.00,40293.00
43205,23001.00,35543.00,14980.00
43206,40200.00,52154.00,24528.00
43207,38326.00,45001.00,44190.00
43209,66187.00,85559.00,28935.00
43210,9147.00,12872.00,9728.00
43211,23317.00,29266.00,24978.00
43212,60294.00,74848.00,17828.00
43213,36734.00,46757.00,30612.00
43214,60865.00,71410.00,25787.00
43215,37978.00,57355.00,10102.00
43217,37966.00,47156.00,2509.00
43219,32372.00,41573.00,20607.00
43220,72936.00,98792.00,24401.00
43221,83075.00,107601.00,29749.00
43222,24904.00,37700.00,5655.00
