,Mean Scale Score,County Name,School Code,District Code,Zip Code,District Name,Total_Budget,Total_Students,Per_Student_Spending,Median,Mean,Pop,YearsTeaching,Enrolled,Utilized,Percent_Eligible,Percent_Utilized,Sanctuary
31,2416.05,San Benito,6035034,67470,95023,Hollister,"56,489,487","5,125.9","11,020","66,792","78,393","48,841",15.925,437,351,0.8,0.803203661327,0.0
32,2424.51666667,San Benito,6035042,67470,95023,Hollister,"56,489,487","5,125.9","11,020","66,792","78,393","48,841",15.925,578,426,0.74,0.737024221453,0.0
33,2461.65,San Benito,6071088,67470,95023,Hollister,"56,489,487","5,125.9","11,020","66,792","78,393","48,841",15.925,866,431,0.5,0.497690531178,0.0
34,2424.26666667,San Benito,6104509,67470,95023,Hollister,"56,489,487","5,125.9","11,020","66,792","78,393","48,841",15.925,464,389,0.84,0.838362068966,0.0
35,2498.61666667,San Benito,6112320,67470,95023,Hollister,"56,489,487","5,125.9","11,020","66,792","78,393","48,841",15.925,722,476,0.66,0.659279778393,0.0
36,2435.8,San Benito,6114557,67470,95023,Hollister,"56,489,487","5,125.9","11,020","66,792","78,393","48,841",15.925,257,198,0.77,0.770428015564,0.0
37,2566.05,San Benito,3537008,67538,95023,San Benito High,"30,555,664","2,841.6","10,753","66,792","78,393","48,841",10.5,2975,1591,0.53,0.534789915966,0.0
38,2496.225,San Benito,6095202,67504,95023,North County Joint Union Elementary,"6,101,522",723.9,"8,429","66,792","78,393","48,841",14.4,747,358,0.48,0.479250334672,0.0
39,2524.3,San Diego,3732179,68122,92028,Fallbrook Union High,"29,208,202","2,112.0","13,830","65,635","84,717","46,239",13.4444444444,1962,1211,0.62,0.617227319062,1.0
40,2476.2,San Diego,6040562,68437,92028,Vallecitos Elementary,"2,447,421",198.8,"12,309","65,635","84,717","46,239",17.5,216,192,0.89,0.888888888889,1.0
41,2400.225,Imperial,6008619,63198,92243,Meadows Union Elementary,"5,601,074",469.1,"11,940","45,894","57,787","48,030",13.5,503,369,0.73,0.733598409543,0.0
42,2490.625,Imperial,6008262,63073,92227,Brawley Elementary,"41,230,828","3,839.7","10,738","44,028","58,935","26,219",15.3076923077,910,733,0.81,0.805494505495,0.0
43,2394.02,Imperial,6008270,63073,92227,Brawley Elementary,"41,230,828","3,839.7","10,738","44,028","58,935","26,219",15.3076923077,605,582,0.96,0.961983471074,0.0
44,2442.6375,Imperial,6008288,63073,92227,Brawley Elementary,"41,230,828","3,839.7","10,738","44,028","58,935","26,219",15.3076923077,810,773,0.95,0.954320987654,0.0
45,2410.65,Imperial,6008296,63073,92227,Brawley Elementary,"41,230,828","3,839.7","10,738","44,028","58,935","26,219",15.3076923077,827,632,0.76,0.764207980653,0.0
46,2408.85,Imperial,6008304,63073,92227,Brawley Elementary,"41,230,828","3,839.7","10,738","44,028","58,935","26,219",15.3076923077,828,690,0.83,0.833333333333,0.0
47,2427.8,Lake,1735000,64022,95457,Konocti Unified,"38,964,702","3,026.7","12,874","50,341","68,322","2,893",9.78571428571,863,637,0.74,0.738122827346,0.0
48,2529.8,Los Angeles,6022198,64931,91770,Rosemead Elementary,"29,090,527","2,475.4","11,752","49,191","62,602","62,097",12.8095238095,621,509,0.82,0.819645732689,1.0
49,2528.95,Los Angeles,1936467,64840,90650,Norwalk-La Mirada Unified,"202,760,763","17,544.2","11,557","61,036","69,108","105,549",14.6525423729,2085,1714,0.82,0.82206235012,1.0
